longitude,latitude,laci,newPlot
123.4100418,41.71696854,16650-2432269,127
123.3088303,41.7948494,16654-67902733,128
123.4054337,41.73435974,16650-67544588,120
123.341301,41.83958817,16888-2531389,129
123.4041824,41.78815842,16884-12600708,130
123.4106903,41.80588913,16789-67436575,131
123.382637,41.67253876,16399-67535413,132
123.3415833,41.83486938,16888-67869493,133
123.3956985,41.66041946,16648-2388748,134
123.3636017,41.76478958,16643-13098883,135
122.8239136,42.01221848,16394-60333189,136
123.330162,41.81687927,16888-67182101,137
123.4646378,41.80677032,16885-67202367,138
123.4543991,41.80009079,16407-67197235,139
123.4646378,41.80677032,16885-67202337,138
123.4689713,41.83068848,16395-234947891,140
123.4689713,41.83068848,16395-234947851,140
123.4746933,41.83179855,16395-234968115,141
123.4746933,41.83179855,16395-234968125,141
123.4746933,41.83179855,16395-234968075,141
122.8331604,42.01269913,16394-249588748,142
122.8111191,42.0118103,16394-67977739,143
123.4572067,41.81924057,16395-67211827,144
123.385437,41.76366043,16788-13087108,145
123.2186127,41.87506866,16389-235099405,146
123.3260727,41.78894043,16388-67421707,147
123.4369736,41.81069946,16789-67205684,148
123.4262009,41.81328964,16789-67502604,12
123.2430191,41.85911942,16389-68019724,149
123.3388977,41.77386856,16404-67852812,150
123.3388977,41.77386856,16404-67852852,150
123.451828,41.79811859,16407-54568008,151
123.013298,41.95848083,16385-60322181,152
123.4638138,41.80162811,16407-68100148,153
123.2880707,41.84394073,16888-67907340,154
123.4638138,41.80162811,16407-68100147,153
123.4589996,41.80213165,16407-67198772,155
123.4533081,41.79941177,16407-67195915,156
123.4639206,41.80471039,16885-68102411,157
122.9420471,42.01485825,16394-249680395,158
123.3680801,41.7646904,16643-67640895,159
123.4119873,41.8078804,16789-67569981,56
123.4639206,41.80471039,16885-68102452,157
122.9983902,42.02111053,16394-67610125,160
123.4670715,41.83361053,16395-12618136,161
123.4128571,41.80469894,16789-67436853,10
123.4128571,41.80469894,16789-67436811,10
123.4106903,41.80588913,16789-67436595,131
123.3436737,41.78839111,16388-2567997,162
123.3488464,41.79114151,16388-2515251,163
123.3471985,41.78953934,16388-2567693,164
123.3480301,41.79275894,16388-67654196,165
123.3436737,41.78839111,16388-2567947,162
123.3436737,41.78839111,16388-2567987,162
123.3501663,41.7890892,16406-67644725,166
123.3462982,41.78725052,16388-67926048,167
123.3501892,41.79389191,16388-67637556,168
123.3480301,41.79275894,16388-67654176,165
123.3831787,41.75664902,16788-235017011,169
123.3879929,41.75057983,16788-67553843,170
123.4159698,41.80778122,16789-67567885,0
123.4167023,41.80054855,16789-67438623,171
123.4153519,41.7809906,16401-67454773,172
123.3471985,41.78953934,16388-2567743,164
123.3493729,41.79272079,16388-55818833,173
123.3488464,41.79114151,16388-2515211,163
123.4054337,41.73435974,16650-67544627,120
123.3501663,41.7890892,16406-67644705,166
123.3716965,41.76863861,16643-67660831,174
123.3716965,41.76863861,16643-67660851,174
123.3605576,41.77761841,16643-67697973,175
123.3501892,41.79389191,16388-67637516,168
123.3879929,41.75057983,16788-67553845,170
123.4168396,41.78324127,16401-67452705,176
123.3501892,41.79389191,16388-67637567,168
123.3456116,41.7684288,16643-60629135,177
123.4342422,41.75323868,16788-67577651,178
123.4062119,41.79008865,16884-67446579,179
123.3912888,41.76742935,16788-67472692,180
123.4266129,41.75957108,16788-67469323,181
123.4439316,41.78248978,16882-67182645,23
123.3462982,41.78725052,16388-67358733,167
123.3501663,41.7890892,16406-67644735,166
123.3629379,41.77523041,16643-67687988,182
123.3988419,41.75511932,16788-67374899,183
123.4291306,41.76118851,16402-13094797,184
123.4003372,41.748909,16788-67552575,126
123.4137192,41.77326965,16788-67576885,185
123.4176865,41.80654907,16789-12618763,186
123.4003372,41.748909,16788-67552574,126
123.4268494,41.78609085,16640-67478591,187
123.4222031,41.78456116,16401-67452172,188
123.4685898,41.7313118,16405-67492109,189
123.3501892,41.79389191,16388-67637566,168
123.3468475,41.77386856,16643-60678533,190
123.4014435,41.7567215,16788-67552319,191
123.3988419,41.75511932,16788-67374909,183
123.3388977,41.77386856,16404-67852861,150
123.3488464,41.79114151,16388-2515252,163
123.4236679,41.79983139,16640-67438861,192
123.4140701,41.79787827,16789-67440653,193
123.4003906,41.7820015,16884-67454495,194
123.3966904,41.72800064,16650-235060532,195
123.4266129,41.75957108,16788-67469325,181
123.4166412,41.77536011,16401-67461429,196
123.5041275,41.64099884,16399-67491339,197
123.3549118,41.7796402,16643-67657779,198
123.3629379,41.77523041,16643-67687989,182
123.3783112,41.78226852,16406-67640629,199
123.3831787,41.75664902,16788-235016973,169
123.4340591,41.73952103,16405-2425397,200
123.3377228,41.76914978,16404-67975219,201
123.4130402,41.74742889,16788-67493941,202
123.4277878,41.76531982,16788-67467275,203
123.4256287,41.75188065,16788-67412237,204
123.4317474,41.78593826,16640-67479051,205
123.4221497,41.7995491,16640-68037172,206
123.4142609,41.80113983,16789-67574796,207
123.4086685,41.73022079,16640-61673091,208
123.4417267,41.78430939,16882-67183883,209
123.3834229,41.78184128,16406-67688244,210
123.3565521,41.76601028,16643-67633931,211
123.3549423,41.76934052,16643-67697421,212
123.3389969,41.76615906,16404-235094047,213
123.3527908,41.78551102,16643-2107670,214
123.3509064,41.78245163,16643-67637279,215
123.3388977,41.77386856,16404-67852851,150
123.4094391,41.75185013,16788-67553311,216
123.3471985,41.78953934,16388-2567732,164
123.4248962,41.79085159,16640-67477567,217
123.4003677,41.79526138,16655-2542132,218
123.4268494,41.78609085,16640-67478589,187
123.4270782,41.78303909,16401-67452990,219
123.4277878,41.76531982,16788-67467325,203
123.4062119,41.79008865,16884-67446580,179
123.4003677,41.79526138,16655-2542092,218
123.4193115,41.78630829,16401-67450379,220
123.4003677,41.79526138,16655-2542142,218
123.4221497,41.78771973,16640-67448895,221
123.5447083,42.4447403,16732-69097485,222
123.5373001,42.43714905,16732-69095181,223
123.5512619,42.44602966,16732-69181195,224
123.5568695,42.44176102,16732-60990861,225
123.5453186,42.45396042,16732-236228107,226
123.5511475,42.45238113,16732-69099021,227
123.5406113,42.44189072,16732-60974724,228
123.5506516,42.4428215,16732-55190857,229
123.5500183,42.45716095,16732-69098507,230
123.5334167,42.09577179,16653-67863819,231
123.4830093,41.87791824,16889-67538751,232
123.4457703,41.81283188,16885-67207475,233
123.4369736,41.81069946,16789-67205643,148
123.4769592,41.8914299,16889-67542540,234
123.539238,42.44129944,16732-69094156,235
123.4642181,42.49359894,16397-67394612,236
123.5341415,42.43497086,16732-236333836,237
123.5492096,42.44966888,16732-236334605,238
123.5392532,42.45907974,16732-69093899,239
123.5400696,42.00228882,16653-249611789,240
123.4766693,41.85401154,16645-67229748,241
123.5512619,42.44602966,16732-69181196,224
123.5492096,42.44966888,16732-236334604,238
123.549263,42.45034027,16732-69094668,242
123.5453186,42.45396042,16732-236228109,226
123.549263,42.45034027,16732-69094667,242
123.5512619,42.44602966,16732-69181197,224
123.4481201,42.48986816,16397-55625543,243
123.4642181,42.49359894,16397-67394572,236
123.539238,42.44129944,16732-69094155,235
123.5518417,42.440979,16732-69107981,244
123.5438232,42.44987106,16732-236331532,245
123.5341415,42.43497086,16732-236333835,237
123.560051,42.45108032,16732-69097996,246
123.436348,42.48641968,16397-67972640,247
123.5317078,41.9632988,16393-67993867,248
123.4470367,42.50167847,16397-67283724,249
123.4163818,42.28546906,16387-55554120,250
123.4024124,42.27907944,16387-249644044,251
123.5422287,42.43495178,16732-1861133,252
123.4087067,41.80638123,16789-249616140,64
123.4106903,41.80588913,16789-67436605,131
123.4154205,41.80363083,16789-67581195,253
123.318222,41.89696884,16389-2377741,254
123.3894806,41.81341171,16887-67645473,255
123.4712601,41.80279922,16793-67199294,256
122.7451477,42.19039917,16387-67158027,257
123.3720703,41.79911041,16794-67672382,258
122.5491333,42.35128021,16720-13590917,259
123.4142609,41.80113983,16789-67574835,207
122.8788223,42.04098892,16394-67145483,260
122.5167389,42.3719902,16720-70230540,261
122.5376816,42.37062073,16720-237699135,262
123.3815536,41.79856873,16794-12594819,263
122.9195099,42.03261948,16394-249610035,264
123.4138184,41.79597855,16655-67441931,265
123.4151917,41.79349136,16640-67444031,51
123.4118195,41.79265976,16655-67444287,46
123.4130478,41.79536819,16655-59805069,266
123.4130478,41.79536819,16655-59804557,266
123.4138184,41.79597855,16655-67441932,265
123.4102325,41.79447174,16655-235040023,267
123.40905,41.79639816,16655-67441725,45
123.4102325,41.79447174,16655-235040021,267
123.4102325,41.79447174,16655-235040053,267
123.4128571,41.80469894,16789-67436863,10
123.4154205,41.80363083,16789-67581196,253
123.4138184,41.79597855,16655-67441972,265
123.4138184,41.79597855,16655-67441983,265
123.4087296,41.80886078,16789-67567629,43
123.4151917,41.79349136,16640-67443981,51
123.4151917,41.79349136,16640-67444021,51
123.4533997,41.79098892,16407-249616395,268
123.4151917,41.79349136,16640-67444019,51
123.4041824,41.78815842,16884-12600748,130
123.3628693,41.76919937,16643-67661619,269
123.4081192,41.80641937,16789-61706125,270
123.3614578,41.76667023,16643-67644191,271
123.3764191,41.77386856,16643-60138628,272
123.3628693,41.76919937,16643-67661621,269
123.3716965,41.76863861,16643-67660833,174
123.3492432,41.76873016,16643-235143457,273
123.4248962,41.79085159,16640-67477557,217
123.4003677,41.79526138,16655-2542143,218
123.40905,41.79639816,16655-67441677,45
123.3614578,41.76667023,16643-67644221,271
123.4019775,41.78142166,16401-67584831,274
123.3847275,41.76959991,16788-67471884,275
123.4061203,41.79851151,16655-67440435,25
123.3968201,41.77841949,16884-2271039,119
123.3942108,41.77685928,16884-67577405,276
123.3942108,41.77685928,16884-67577406,276
123.4346771,41.76557159,16402-67506958,277
123.3776016,41.7694397,16643-235151116,278
123.3262634,41.79748917,16654-67422516,279
123.4065933,41.85773087,16792-2241075,280
123.4087296,41.80886078,16789-67567669,43
123.4136581,41.81689835,16789-67671861,58
123.4062119,41.79008865,16884-67446589,179
123.3664627,41.76753998,16643-235147040,281
123.3614578,41.76667023,16643-67644192,271
123.4030685,41.7986908,16655-67583757,282
123.4502182,41.77291107,16647-67178549,283
123.3614578,41.76667023,16643-67644212,271
123.3155365,41.76620102,16404-2165556,284
123.3565521,41.76601028,16643-67633973,211
123.3481827,41.76536179,16643-67667212,285
123.3940125,41.77256012,16788-67433741,286
123.4309311,41.79019928,16640-67477791,287
123.4181137,41.79104996,16640-13072269,288
123.3142776,41.76586914,16404-67782441,289
123.3256607,41.7711792,16404-67963699,290
123.3421478,41.77145004,16404-67877132,291
123.3325119,41.81990051,16888-67886604,292
123.3389969,41.76615906,16404-235094048,213
123.4028625,41.77616882,16884-67460413,293
123.3614578,41.76667023,16643-67644211,271
123.4346771,41.76557159,16402-67466508,277
123.3940125,41.77256012,16788-67433781,286
123.3628693,41.76919937,16643-67661631,269
123.3968582,41.8028717,16887-67639348,294
123.4536133,41.79661179,16407-67193396,295
123.4051132,41.79402924,16655-67443519,296
123.3370209,41.82825851,16888-67969805,297
123.380127,41.76828003,16642-249676812,298
123.4270782,41.78303909,16401-67452980,219
123.6237869,42.17071915,16736-236420373,299
123.4345474,41.81629181,16789-68102707,300
123.4354477,41.82389832,16885-13088142,301
123.4592972,41.79668045,16407-67193101,302
123.4301834,41.82373047,16644-2291979,69
123.4359512,41.82593155,16644-67271968,303
123.4363098,41.81896973,16885-67118869,304
123.4345474,41.81629181,16789-68102667,300
123.4348373,41.81600189,16789-67361301,305
123.4548798,41.80014038,16407-235011380,306
123.4354401,41.8241806,16644-61670531,307
123.454422,41.80472183,16885-67200563,308
123.454422,41.80472183,16885-67200524,308
123.4369812,41.81771088,16883-67319317,309
123.4355469,41.81787872,16883-12916621,88
123.527153,42.09254074,16642-67308565,310
123.4548798,41.80014038,16407-235011350,306
123.4200516,41.84743118,16644-2203670,311
123.4196777,41.8441391,16644-67694624,312
123.4200516,41.84743118,16644-2203669,311
123.43573,41.82846069,16644-234976821,313
123.4186478,41.84656143,16644-67670579,314
123.4186478,41.84656143,16644-67670539,314
123.4198914,41.85242844,16644-67673868,315
123.4148865,41.85251999,16644-67593996,316
123.4196777,41.8441391,16644-67694645,312
123.4186478,41.84656143,16644-67670540,314
123.4121704,41.8152504,16789-67681056,5
123.4186478,41.84656143,16644-67670589,314
123.4208603,41.81906128,16789-67295541,317
123.4206696,41.82857895,16644-2519307,318
123.4684677,41.80929947,16885-2520843,319
123.4600601,41.79861832,16407-67195147,320
123.4599075,41.79985046,16407-67954967,321
123.4600601,41.79861832,16407-67195148,320
123.4513474,41.80987167,16885-60295300,103
123.4510498,41.91876984,16889-2177293,322
123.4627838,41.95598984,16653-67366933,323
123.4263535,41.81867981,16789-67272480,324
123.4563904,41.90901184,16889-67508235,325
123.4658508,41.9552002,16653-235065613,326
123.6631165,41.90634155,16652-68015885,327
123.5547409,41.94411087,16393-67320843,328
123.6205215,41.84529114,16410-67273996,329
123.4274979,41.81919861,16789-235025941,330
123.4263535,41.81867981,16789-2582541,324
123.4592972,41.79668045,16407-67193151,302
123.4592972,41.79668045,16407-67193149,302
123.3498383,41.8263092,16642-249679637,331
123.4207916,41.81219864,16789-12601476,332
123.4263535,41.81867981,16789-2582581,324
123.4286728,41.81935883,16789-12639622,333
123.4610901,41.79938889,16407-67826965,334
123.4533081,41.79941177,16407-67195916,156
123.2917175,41.85375977,16642-67914517,335
123.4600601,41.79861832,16407-67195197,320
123.6168213,41.83940125,16410-67956767,336
123.4208603,41.81906128,16789-67295550,317
123.4543991,41.80009079,16407-67197247,139
123.569931,41.82043076,16411-234881804,337
123.6147003,41.86344147,16410-68018444,338
123.4592972,41.79668045,16407-67193141,302
123.5534897,41.82307053,16411-2583052,339
123.4286728,41.81935883,16789-12639621,333
123.5447998,41.81800079,16398-234884620,340
123.4295883,41.81406021,16789-2492685,341
123.6185837,41.84320831,16410-60317325,342
123.4324036,41.81552887,16789-2226495,343
123.4460373,41.80059814,16407-13049485,344
123.4342117,41.94113159,16886-13063044,345
123.4586716,41.95204926,16653-2385931,346
123.5203018,41.81267929,16398-249595404,347
123.40979,41.80258942,16789-67438092,348
123.4117813,41.80295181,16789-60622734,349
123.4119873,41.8078804,16789-67569933,56
123.4022598,41.79708862,16655-67413783,350
123.386528,41.80400848,16887-67645246,351
123.4030685,41.7986908,16655-67583755,282
123.4030685,41.7986908,16655-67583797,282
123.394043,41.79904938,16887-235143989,352
123.3817978,41.79629135,16794-2372661,353
123.4023285,41.7983017,16655-60150659,354
123.386528,41.80400848,16887-67645216,351
123.3846817,41.79840088,16794-2306867,355
123.4041138,41.7967186,16655-67441460,356
123.4246597,41.84859085,16644-59972148,357
123.4152374,41.88574982,16883-12926861,358
123.4548798,41.80014038,16407-235011379,306
123.4717484,41.79951096,16793-60357005,359
123.4013824,41.91791916,16886-67775254,360
123.4085617,41.92082977,16886-67561012,361
123.4035416,41.92454147,16886-67515463,362
123.4035416,41.92454147,16886-67515464,362
123.4087524,41.92951965,16886-68031244,363
123.4144669,41.91923904,16886-54560329,364
123.4175568,41.84672928,16883-12928653,365
123.4331589,41.84371185,16645-55574089,366
123.4103012,41.92798996,16886-54559561,367
123.4076996,41.91476059,16886-61731469,368
123.4712601,41.80279922,16793-67199245,256
123.4164734,41.86935043,16883-12927629,369
123.4589996,41.80213165,16407-67198733,155
123.4009628,41.91902924,16886-67524364,370
123.451828,41.79811859,16407-54568009,151
123.4638138,41.80162811,16407-68100127,153
123.4669266,41.78964996,16646-2613517,371
123.4164734,41.86935043,16883-12928141,369
123.4543991,41.80009079,16407-67197196,139
123.4164734,41.86935043,16883-12927885,369
123.4035416,41.92454147,16886-67515443,362
123.4175568,41.85667038,16883-12928397,372
123.4009628,41.91902924,16886-67524413,370
123.4035416,41.92454147,16886-67515455,362
123.4080276,41.91123962,16886-54558535,373
123.4030914,41.91810608,16883-12925837,374
123.4712601,41.80279922,16793-67199243,256
123.4093399,41.91552734,16883-12926605,375
123.4404678,41.75371933,16402-67470623,376
123.4191513,41.75864029,16788-67469599,377
123.4014435,41.7567215,16788-67552318,191
123.4098206,41.76158142,16788-67459893,378
123.4162903,41.74272156,16650-12583043,379
123.4062119,41.79008865,16884-67446541,179
123.4191513,41.75864029,16788-67469619,377
123.4422989,41.75917816,16402-234948415,380
123.4014435,41.7567215,16788-67552308,191
123.4172592,41.75402069,16788-55575111,381
123.4098206,41.76158142,16788-67459853,378
123.3903427,41.84566116,16409-67649341,382
123.6128006,41.91992188,16652-68147724,383
123.3903427,41.84566116,16409-67649343,382
123.5381393,41.8143692,16398-234972724,384
123.3982391,41.85168076,16409-68119347,385
123.3982391,41.85168076,16409-68119358,385
123.3870163,41.84881973,16797-235145013,386
123.3870163,41.84881973,16797-235144993,386
123.6128006,41.91992188,16652-68147723,383
123.5636902,41.82130051,16411-234889997,387
123.6223526,41.91783142,16652-67993357,388
123.6631165,41.90634155,16652-68015884,327
123.4121704,41.8152504,16789-67681076,5
123.5677872,41.93626022,16652-67651596,389
123.393837,41.82297134,16409-67646259,390
123.6464767,41.89081955,16652-68017163,391
123.5413132,41.81227112,16398-67241012,392
123.3903427,41.84566116,16409-67649291,382
123.5568008,41.93996811,16393-234883615,393
123.6201782,41.9096489,16652-67983883,394
123.4041595,41.81858826,16644-67692555,395
123.3903427,41.84566116,16409-67649331,382
123.4135284,41.82027817,16644-59822869,396
123.4135971,41.82078171,16644-2538657,74
123.4042511,41.80353928,16789-67437620,397
123.40979,41.80258942,16789-67438133,348
123.4064331,41.81716919,16644-2486293,398
123.4042511,41.80353928,16789-67437580,397
123.4069672,41.80120087,16789-60659333,399
123.4135971,41.82078171,16644-2538627,74
123.4061966,41.80123901,16789-2537237,400
123.4128571,41.80469894,16789-67436851,10
123.4042511,41.80353928,16789-67437629,397
123.4042511,41.80353928,16789-67437631,397
123.4133682,41.81906128,16644-67678241,80
122.7714081,41.54814148,16649-60675972,401
122.7269135,41.51633072,16649-60144005,402
122.7724075,41.51464081,16649-67393036,403
122.7772369,41.51359177,16649-67394829,404
122.7453766,41.53580856,16649-67920395,405
123.2509003,41.7915802,16389-61675395,406
123.2530518,41.79824066,16389-61355396,407
123.3481064,41.80242157,16388-67689533,408
122.7757568,41.51927948,16649-67382027,409
122.7719193,41.52408981,16649-67395596,410
122.7765121,41.52312088,16649-67396619,411
122.757019,41.51089859,16649-67392523,412
122.7354126,41.5146904,16649-67842573,413
122.7342606,41.51079178,16649-67841291,414
122.9533234,41.66001892,16642-67919125,415
123.022522,41.69903183,16642-68086549,416
122.7325897,41.52330017,16649-67838220,417
122.7581863,41.54389191,16649-60308612,418
122.7690811,41.51876068,16649-67395340,419
122.7742615,41.51811981,16649-67395085,420
122.7724075,41.51464081,16649-67393035,403
122.7719193,41.52408981,16649-67395595,410
122.7933578,41.542099,16649-67155725,421
122.7757568,41.51927948,16649-67382028,409
122.7719193,41.52408981,16649-67395597,410
122.7453766,41.53580856,16649-67920396,405
123.29879,41.79964828,16654-67850765,422
123.3481064,41.80242157,16388-67689525,408
122.6257172,42.09761047,16641-235110924,423
123.4042511,41.80353928,16789-67437621,397
123.2036438,41.78199005,16389-67958541,424
123.2343063,41.78770828,16389-60111747,425
122.65802,42.1137619,16641-67938572,426
122.7557602,41.52416992,16649-54587473,427
122.7282715,41.52038956,16649-67911693,428
122.7401428,41.52555847,16649-61674371,429
122.7662811,41.52230072,16649-67395851,430
123.40979,41.80258942,16789-67438091,348
123.3353424,41.80545044,16388-60128901,431
122.7342606,41.51079178,16649-67841331,414
122.9327164,41.5591011,16392-234885643,432
123.3968582,41.8028717,16887-67639328,294
123.3325119,41.81990051,16888-67886605,292
123.3324966,41.82276917,16888-2257932,433
123.3931732,41.80286026,16887-67650101,434
123.4030685,41.7986908,16655-67583795,282
123.4225464,41.80387115,16789-67437323,435
123.3968582,41.8028717,16887-67639329,294
123.3919601,41.81158066,16789-235161356,436
123.3325119,41.81990051,16888-67886603,292
